"BSTOPARSNO,N,19,0","BSTOPID,N,19,0","NAME,C,254","STOPTYPE,C,254","LNG,N,19,15","LAT,N,19,15"
1001,167970102,영주삼거리,일반,129.033261700000000,35.115323330000000
1002,169310303,영주삼거리,일반,129.033030300000000,35.115282640000000
1003,167970301,시민아파트,일반,129.031678300000000,35.115075000000000
1004,167840102,시민아파트,일반,129.032159900000000,35.114921360000000
1005,167970302,중앙공원 민주공원입구,일반,129.029858300000000,35.114473330000000
1006,167840101,중앙공원 민주공원입구,일반,129.030088700000000,35.114344170000000
1007,167840201,중앙공원 민주공원입구,일반,129.029651700000000,35.113970000000000
1008,167970201,동아아파트,일반,129.030426700000000,35.113966670000000
1009,168020203,동아아파트,일반,129.030288300000000,35.113201090000000
1010,167660301,부산터널위,일반,129.031769000000000,35.113068000000000
1011,167840202,동주파크맨션,일반,129.029670000000000,35.111441670000000
1012,167830103,동주파크맨션,일반,129.029845000000000,35.111336670000000
1013,168020202,금호아파트,일반,129.030720000000000,35.111496670000000
1014,167970202,금호아파트,일반,129.030686700000000,35.111095000000000
1015,167840203,청운아파트,일반,129.030538300000000,35.109655000000000
1016,167830102,청운아파트,일반,129.030711700000000,35.109573330000000
1017,168020201,부산디지털고,일반,129.031799000000000,35.109566000000000
1018,167970203,부산디지털고,일반,129.031981700000000,35.109475000000000
1019,167840204,부산디지털고,일반,129.030291700000000,35.107786670000000
1020,167830101,부산디지털고,일반,129.030988300000000,35.108071670000000
1021,168020102,중구청.메리놀병원,일반,129.032933300000000,35.107534470000000
1022,167910201,중구청.메리놀병원,일반,129.033933300000000,35.107728330000000
1023,167910101,중구청.메리놀병원,일반,129.033720200000000,35.108088720000000
1024,167910102,거북맨션,일반,129.033933900000000,35.109796230000000
1025,168020101,거북맨션,일반,129.033714000000000,35.109738630000000
1026,167910202,코모도호텔,일반,129.034878300000000,35.110188330000000
1027,167670201,영주신호대,일반,129.034431700000000,35.111245000000000
1028,167680201,영주동,일반,129.035004300000000,35.112254910000000
1029,167680101,영주동,일반,129.035453300000000,35.112065000000000
1030,167700302,영주동,일반,129.037222200000000,35.109993980000000
1032,167860102,영주동,일반,129.037495900000000,35.109652880000000
1033,167700303,영주동,일반,129.036897100000000,35.109200310000000
1034,167860101,영주동,일반,129.036973900000000,35.108424030000000
1036,167930101,2부두,일반,129.040653300000000,35.108561670000000
1037,169270201,2부두,일반,129.040120000000000,35.108280000000000
1038,167700304,영주동,일반,129.036610000000000,35.108126670000000
1039,167700305,중부경찰서,일반,129.036378300000000,35.107683330000000
1041,168010301,중앙동(중앙역),일반,129.036340800000000,35.106674900000000
1042,167860202,중앙동(중앙역),일반,129.036024700000000,35.105432820000000
1043,167860201,중앙동,일반,129.036193300000000,35.105543330000000
1044,169270202,연안여객터미널,일반,129.039155000000000,35.106076670000000
1045,167930102,연안여객터미널,일반,129.038271700000000,35.105083330000000
1046,167930201,부산세관,일반,129.037440000000000,35.104016670000000
1047,167710301,제일은행앞,일반,129.034833300000000,35.102951670000000
1048,167950102,백산기념관.영화체험박물관,일반,129.034246900000000,35.102682570000000
1049,211840303,중앙역2번출구,일반,129.036560000000000,35.101851670000000
1050,211840302,CJ대한통운,일반,129.036720600000000,35.101447430000000
1051,211840301,CJ대한통운,일반,129.036747000000000,35.100969550000000
1052,167730101,부산항만공사,일반,129.037685000000000,35.100770000000000
1053,211850401,부산항만공사,일반,129.037920000000000,35.100841670000000
1054,211840304,연안여객부두,일반,129.036648300000000,35.100470000000000
1055,167720201,중앙동주민센터,일반,129.036337500000000,35.100950220000000
1056,167720202,부산데파트,일반,129.036585000000000,35.100588330000000
1057,167870101,수산물품질관리부산지원,일반,129.036701700000000,35.099943330000000
1058,208830101,중앙공원 민주공원,일반,129.028602000000000,35.112736000000000
1059,211840201,부산데파트,일반,129.036374100000000,35.099985610000000
1061,167960201,영도대교(남포역),일반,129.036016300000000,35.097318310000000
1062,167960202,영도대교(남포역),일반,129.035894100000000,35.097618220000000
1063,167850201,영도대교(남포역),일반,129.035743300000000,35.097485000000000
1064,167850202,영도대교,일반,129.035885000000000,35.097058330000000
1067,167990301,남포역,일반,129.032983300000000,35.097893330000000
1068,168000105,자갈치시장,일반,129.032435000000000,35.097535000000000
1069,168000104,자갈치시장,일반,129.032250800000000,35.097464380000000
1070,167990302,남포동,일반,129.032346700000000,35.097970000000000
1071,167990303,남포동,일반,129.031825500000000,35.098177910000000
1072,167990304,남포동,일반,129.031241700000000,35.098318640000000
1073,167990305,남포동,일반,129.030100000000000,35.098140000000000
1074,167990306,자갈치역.비프광장,일반,129.028956700000000,35.097898330000000
1075,167820102,남포동,일반,129.031821300000000,35.097841860000000
1076,168000102,신동아시장,일반,129.029300600000000,35.097133810000000
1077,168000103,자갈치시장,일반,129.030461700000000,35.097388330000000
1078,168000101,신동아시장,일반,129.028931200000000,35.097075950000000
1079,167820301,자갈치역,일반,129.026988300000000,35.097551000000000
1080,167810401,서구청(충무동),일반,129.025567800000000,35.098028420000000
1082,167820101,자갈치입구(자갈치역),일반,129.028695000000000,35.097753330000000
1083,167920101,부평시장,일반,129.025168300000000,35.101258330000000
1084,167770201,부평시장,일반,129.025158400000000,35.102136780000000
1085,167920501,남포주유소,일반,129.022511200000000,35.101505610000000
1088,167890101,보수초등학교,일반,129.023865500000000,35.105629870000000
1089,210000301,보수초등학교,일반,129.024160000000000,35.105441670000000
1090,167770301,보수사거리,일반,129.024368300000000,35.103248330000000
1091,209980201,보수사거리,일반,129.024500000000000,35.103130000000000
