,title,description,originallink,link,pubDate
751,"하이브, 주가 상승…BTS 의존성 점차 벗어날 듯",이어 <b>뉴진스</b>도 선 판매량이 40만장&quot;을 넘어서면서 견조한 실적을 보였다고 했다. 하지만 이 연구원은 BTS의 부재를 꼽으며 목표주가를 24만 원으로 하향 조정했지만 향후 BTS 맴버들의 개인 활동 추이에 따른 실적... ,http://www.pinpointnews.co.kr/news/articleView.html?idxno=135338,http://www.pinpointnews.co.kr/news/articleView.html?idxno=135338,"Thu, 11 Aug 2022 10:04:00 +0900"
752,[더보기] NCT·스키즈·에이티즈·<b>뉴진스</b> 팝업 스토어 가봤니?,"그룹 NCT, 에이티즈, 스트레이 키즈, <b>뉴진스</b> 등 아이돌 그룹의 회사들이 너도나도 마케팅의 수단 겸 수익... 데뷔하자마자 대세 걸그룹으로 부상한 <b>뉴진스</b>도 더현대 서울에서 데뷔 기념 팝업 스토어를 연다. 오는... ",https://isplus.com/2022/08/11/enter/entertainment/20220811094025092.html,https://n.news.naver.com/mnews/article/241/0003224711?sid=106,"Thu, 11 Aug 2022 09:40:00 +0900"
753,"소녀시대, 써클차트 8월 10일 리테일 앨범차트 1위, 세븐틴·골든차일드·최예...",5위는 948장이 판매된 <b>뉴진스</b>의 &apos;1st EP `New Jeans`&apos;이 차지했다. 이어 6위 엑스디너리... 10위 <b>뉴진스</b>의 &apos;1st EP `New Jeans` (Weverse)&apos;(410장) 등과 같다. TOP 50 차트에 4장 이상의 앨범을 올린... ,http://www.topstarnews.net/news/articleView.html?idxno=14718982,http://www.topstarnews.net/news/articleView.html?idxno=14718982,"Thu, 11 Aug 2022 09:38:00 +0900"
754,[엠카운트다운 라인업] 골든차일드·<b>뉴진스</b>·달수빈·아일리원·에이티즈·YE...,"11일 오후 방송되는 Mnet &apos;엠카운트다운&apos;에는 골든차일드, <b>뉴진스</b>, 달수빈, 블리처스, 수현(유키스), 아일리원, ATBO, 에이티즈, Xdinary Heroes가 출연한다. 또한 YENA(최예나), 유나이트, 첫사랑(CSR), 코요태, 키노... ",http://www.mediapen.com/news/view/745485,http://www.mediapen.com/news/view/745485,"Thu, 11 Aug 2022 09:32:00 +0900"
755,"[오늘의 브릿지경제 1면] 베일 벗은 ‘갤럭시 Z’… 삼성, 언팩 2022서 ‘초격...","▶‘나의 소리’를 찾아 떠나는 다섯 번째 ‘소리길’…마지막 ‘서편제’ ▶증여도 타이밍!… 파란불? 주식 증여엔 &apos;청신호&apos; ▶‘민희진 걸그룹’ <b>뉴진스</b>, 악의적 비방 법적 대응…“선처·합의 없다”",https://www.viva100.com/main/view.php?key=20220810001608523,https://www.viva100.com/main/view.php?key=20220810001608523,"Thu, 11 Aug 2022 08:52:00 +0900"
756,[트렌드스캔] <b>뉴진스</b>의 &apos;긴 생머리&apos; 연출법,자칫 촌스럽고 지루하게 느껴질 법한 긴 생머리의 유행에 다시 불을 붙인 주인공은 최근 데뷔한 그룹 <b>뉴진스</b>다. 민희진 대표가 설립한 하이브 산하 레이블 어도어(ADOR)에서 데뷔한 5인조 걸그룹 <b>뉴진스</b>는 데뷔 이후 기존의... ,https://hankookilbo.com/News/Read/A2022080809190002461?did=NA,https://n.news.naver.com/mnews/article/469/0000691019?sid=106,"Thu, 11 Aug 2022 08:47:00 +0900"
757,[차트IS] <b>뉴진스</b> ‘어텐션’ 음원 차트 2위…데뷔 11일 차에 이뤄낸 쾌거,"그룹 <b>뉴진스</b>가 음원 차트 2위에 오르며 신예의 저력을 선보였다. 10일 오전 8시 멜론 TOP100 차트 기준, <b>뉴진스</b>의 ‘어텐션’(Attention)이 2위를 차지했다. ‘어텐션’은 지난 9일 오후 11시 멜론 TOP100 차트 정상에... ",https://isplus.com/2022/08/11/enter/entertainment/20220811083920883.html,https://n.news.naver.com/mnews/article/241/0003224704?sid=106,"Thu, 11 Aug 2022 08:39:00 +0900"
758,"어도어 걸그룹 ‘<b>뉴진스</b>’, 데뷔 8일 만에 美 빌보드 차트 진입",어도어 걸그룹 &apos;<b>뉴진스</b>&apos;▲사진=인스타그램 방탄소년단(BTS) 소속사 하이브의 신규 레이블 &apos;어도어(ADOR)&apos; 첫 번째 걸그룹 <b>뉴진스</b>(New Jeans)&apos;가 데뷔 8일 만인 미국 빌보드 차트에 진입했다. 지난 9일 빌보드가 발표한 최신... ,https://www.thedrive.co.kr/news/newsview.php?ncode=1065568412463273,https://www.thedrive.co.kr/news/newsview.php?ncode=1065568412463273,"Thu, 11 Aug 2022 08:16:00 +0900"
759,"[문화연예 플러스] <b>뉴진스</b>, 발매 8일 만에 빌보드 차트 올라",신인 걸그룹 &apos;<b>뉴진스</b>&apos;의 돌풍이 거셉니다. 국내 음원 사이트 장악은 물론 미국 빌보드 접수에도 나섰는데요. 음원 발매 8일 만에 전 세계를 사로잡고 있습니다. <b>뉴진스</b>의 타이틀 곡 &apos;어텐션&apos;이 &apos;빌보드 글로벌&apos; 차트에... ,https://imnews.imbc.com/replay/2022/nwtoday/article/6397191_35752.html,https://n.news.naver.com/mnews/article/214/0001215054?sid=106,"Thu, 11 Aug 2022 07:24:00 +0900"
760,"<b>뉴진스</b>, 데뷔하자마자 빌보드 진입…“역시 글로벌 괴물 신인!”",신인 걸그룹 <b>뉴진스</b>(New Jeans) 돌풍이 거세다. 지난달 말 무대에 나선 지 열흘밖에 안 된 신인으로 역대... 지난달 27일 데뷔 앨범 ‘<b>뉴 진스</b>’의 예약판매를 시작한 이들은 4일 만에 선 주문량 44만 장을 돌파했다. 역대... ,https://sports.donga.com/article/all/20220810/114902862/3,https://n.news.naver.com/mnews/article/382/0000997651?sid=106,"Thu, 11 Aug 2022 06:31:00 +0900"
